,Round1,Round2,Round3,Round4,Finals
YianniDiakomihalis,Dec,Dec,Dec,Dec,SV
PeteLipari,,,,,
IanParker,,,,,
ChadRed,Fall,,,,
DomDemas,MD,Dec,,,
MitchMoore,,,,,
JoshFinesilver,,,,,
KanenStorr,Dec,,,,
JaydinEierman,Fall,Dec,Dec,,
ChrisDebien,,,,,
AustinHeadlee,,,,,
CameronKelly,Dec,,,,
KyleShoop,Dec,MD,,,
MattFindlay,,,,,
CoreyShie,,,,,
JoshAlber,Dec,,,,
NickLee,Fall,Fall,Dec,,
NateLimmex,,,,,
Sa`DerianPerry,Dec,,,,
JamelMorris,,,,,
TristanMoran,,,,,
MaxMurin,Dec,Dec,,,
AnthonySparacio,,,,,
MichaelCarr,Dec,,,,
MitchMcKee,Fall,Dec,,,
SamKrivus,,,,,
SamTurner,Dec,,,,
NicholasGil,,,,,
KaidBrock,MD,,,,
BryanLantry,,,,,
GrantWillits,,,,,
JoeyMcKenna,TF,MD,MD,Dec,
