,Round1,Round2,Round3,Round4,Finals
BoNickal,Fall,Fall,MD,Fall,Dec
EthanLaird,,,,,
StephenLoiseau,,,,,
JoshHokit,Dec,,,,
BenjaminHonis,,,,,
JakeJakobsen,Dec,,,,
GregBulsak,,,,,
NathanTraxler,Dec,Dec,,,
JacobWarner,Dec,,,,
DrewPhipps,,,,,
ThomasLane,Dec,SV,,,
RoccoCaywood,,,,,
MalikMcDonald,Dec,,,,
NoahAdams,,,,,
BrandonWhitman,,,,,
PatrickBrucki,Dec,Dec,Dec,,
PrestonWeigel,TF,Dec,Fall,,
JacobSeely,,,,,
TannerOrndorff,,,,,
EricSchultz,Dec,,,,
ChristianBrunner,Dec,Dec,,,
SawyerRoot,,,,,
JoshuaRoetman,,,,,
WilliamMiklus,Dec,,,,
JayAiello,Dec,,,,
AnthonyMcLaughlin,,,,,
KellanStout,,,,,
TomSleigh,Dec,Dec,,,
RandallDiabe,,,,,
JakeWoodley,TB,,,,
BrettPerry,,,,,
KollinMoore,MD,MD,Dec,MD,
