,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace
AnthonyAshnault,Dec,,,,,,,,
MalikAmine,,,,,,,,,
ChristianMonserrat,Dec,,,,,,,,
DavionJeffries,,,,,,,,,
JustinOliver,,Dec,,,,,,,
CortlandtSchuyler,,,,,,,,,
RussellRohlfing,Dec,Fall,,,,,,,
JarrettDegen,,,,Dec,,,,,Dec
MatthewKolodzik,,,,,,,,Dec,
MichaelSprague,Dec,TB,,,,,,,
KhristianOlivas,,,,,,,,,
BradyBerge,,Dec,,,,,,,
AnthonyArtalona,TF,Dec,SV,,,,,,
ThomasThorn,,Dec,SV,,,,,,
MatthewZovistoski,,,,,,,,,
BrockMauller,,,,Fall,Dec,,,,
MitchFinesilver,,,,Dec,Dec,Dec,,,
ParkerKropman,,,,,,,,,
ColeMartin,,,,,,,,,
RequirvanderMerwe,MD,,,,,,,,
JoshuaHeil,,,,,,,,,
HenryPohlmeyer,,,,,,,,,
TejonAnthony,,,,,,,,,
AustinOConnor,,,,,,Dec,Dec,,
KadenGfeller,,,,,,,,,
RyanBlees,,,,,,,,,
JoshuaMaruca,Dec,,,,,,,,
PatLugo,,,,Dec,,,,,
MaxThomsen,,Dec,MD,,,,,,
JaredPrince,Dec,MD,Dec,,,,,,
ShayneOster,,,,,,,,,
MicahJordan,,,,,,,,,
