,Round1,Round2,Round3,Round4,Finals
JasonNolf,Fall,TF,TF,Dec,MD
BenAnderson,,,,,
BcLaPrade,,,,,
JohnVanBrill,MD,,,,
ChristianPagdilao,MD,Dec,,,
JoshuaMcClure,,,,,
JustinRuffin,,,,,
JoshHumphreys,Dec,,,,
HaydenHidlay,TF,TF,SV,,
HunterWillits,,,,,
JustinThomas,Dec,,,,
TalebRahmani,,,,,
JarrettJacques,,,,,
LukeWeiland,Dec,,,,
AlexSmythe,,,,,
AlecPantaleo,MD,Dec,,,
RyanDeakin,Dec,MD,,,
ChristianLabrie,,,,,
GriffinParriott,Dec,,,,
ZachHartman,,,,,
KeShawnHayes,Dec,,,,
ZacCarson,,,,,
DanReed,,,,,
KalebYoung,TF,MD,SV,,
LarryEarly,MD,Dec,,,
QuincyMonda,,,,,
ChaseStraw,,,,,
SteveBleise,MD,,,,
EricBarone,Dec,,,,
LoganParks,,,,,
BenjaminBarton,,,,,
TylerBerger,TF,Fall,Dec,Dec,
