,Unnamed: 0,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints
0,MarkHall,MD,Dec,Dec,TB,,1.0,4.0,12.0
1,DevinKane,,,,,,0.0,0.0,0.0
2,NealRichards,,,,,,0.0,0.0,0.0
3,BrandonWomack,TB,,,,,0.0,1.0,0.0
4,DevinSkatzka,MD,,,,,1.0,1.0,0.0
5,LorenzoDeLaRiva,,,,,,0.0,0.0,0.0
6,HaydenHastings,,,,,,0.0,0.0,0.0
7,TaylorLujan,MD,Fall,,,,3.0,2.0,0.0
8,JordanKutler,MD,Dec,,,,1.0,2.0,0.0
9,JacobOliver,,,,,,0.0,0.0,0.0
10,MarcusColeman,,,,,,0.0,0.0,0.0
11,MattFinesilver,Dec,,,,,0.0,1.0,0.0
12,BritWilson,,,,,,0.0,0.0,0.0
13,SpencerCarey,Dec,,,,,0.0,1.0,0.0
14,JoeGrello,,,,,,0.0,0.0,0.0
15,MylesAmine,Dec,MD,SV,,,1.0,3.0,0.0
16,ZahidValencia,MD,MD,Fall,MD,Dec,5.0,5.0,16.0
17,DeanSherry,,,,,,0.0,0.0,0.0
18,EthanSmith,SV,,,,,0.0,1.0,0.0
19,KimballBastian,TB,,,,,0.0,1.0,0.0
20,DylanLydy,,,,,,0.0,0.0,0.0
21,BenHarvey,Dec,SV,,,,0.0,2.0,0.0
22,VincentDeprez,,,,,,0.0,0.0,0.0
23,DavidMcFadden,Dec,,,,,0.0,1.0,0.0
24,JacobeSmith,,,,,,0.0,0.0,0.0
25,DrewHughes,,,,,,0.0,0.0,0.0
26,DanielBullard,,,,,,0.0,0.0,0.0
27,MikeyLabriola,Dec,Dec,,,,0.0,2.0,0.0
28,RyanChristensen,Dec,,,,,0.0,1.0,0.0
29,AndrewMorgan,,,,,,0.0,0.0,0.0
30,TravisStefanik,,,,,,0.0,0.0,0.0
31,DanielLewis,Fall,Fall,Fall,,,6.0,3.0,0.0
