,Round1,Round2,Round3,Round4,Finals
MarkHall,MD,Dec,Dec,TB,
DevinKane,,,,,
NealRichards,,,,,
BrandonWomack,TB,,,,
DevinSkatzka,MD,,,,
LorenzoDeLaRiva,,,,,
HaydenHastings,,,,,
TaylorLujan,MD,Fall,,,
JordanKutler,MD,Dec,,,
JacobOliver,,,,,
MarcusColeman,,,,,
MattFinesilver,Dec,,,,
BritWilson,,,,,
SpencerCarey,Dec,,,,
JoeGrello,,,,,
MylesAmine,Dec,MD,SV,,
ZahidValencia,MD,MD,Fall,MD,Dec
DeanSherry,,,,,
EthanSmith,SV,,,,
KimballBastian,TB,,,,
DylanLydy,,,,,
BenHarvey,Dec,SV,,,
VincentDeprez,,,,,
DavidMcFadden,Dec,,,,
JacobeSmith,,,,,
DrewHughes,,,,,
DanielBullard,,,,,
MikeyLabriola,Dec,Dec,,,
RyanChristensen,Dec,,,,
AndrewMorgan,,,,,
TravisStefanik,,,,,
DanielLewis,Fall,Fall,Fall,,
