,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace
MarkHall,,,,,,,,,
DevinKane,Dec,Dec,Dec,,,,,,
NealRichards,,,,,,,,,
BrandonWomack,,Dec,,,,,,,
DevinSkatzka,,MD,Dec,MD,,,,,
LorenzoDeLaRiva,,,,,,,,,
HaydenHastings,MD,,,,,,,,
TaylorLujan,,,,,,,,,
JordanKutler,,,,Dec,,,,,Dec
JacobOliver,,,,,,,,,
MarcusColeman,Dec,,,,,,,,
MattFinesilver,,,,,,,,,
BritWilson,,,,,,,,,
SpencerCarey,,,,,,,,,
JoeGrello,MD,TB,,,,,,,
MylesAmine,,,,,,Dec,Dec,,
ZahidValencia,,,,,,,,,
DeanSherry,,,,,,,,,
EthanSmith,Dec,Dec,,,,,,,
KimballBastian,,,,,,,,,
DylanLydy,SV,Dec,Dec,,,,,,
BenHarvey,,,,,,,,,
VincentDeprez,,,,,,,,,
DavidMcFadden,,Dec,Dec,MD,Dec,,,Dec,
JacobeSmith,,,,,,,,,
DrewHughes,,,,,,,,,
DanielBullard,Dec,,,,,,,,
MikeyLabriola,,,,TB,Dec,,,,
RyanChristensen,,,,,,,,,
AndrewMorgan,Dec,,,,,,,,
TravisStefanik,,,,,,,,,
DanielLewis,,,,,,Dec,,,
