,Unnamed: 0,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints
0,YianniDiakomihalis,Dec,Dec,Dec,Dec,SV,0.0,5.0,16.0
1,PeteLipari,,,,,,0.0,0.0,0.0
2,IanParker,,,,,,0.0,0.0,0.0
3,ChadRed,Fall,,,,,2.0,1.0,0.0
4,DomDemas,MD,Dec,,,,1.0,2.0,0.0
5,MitchMoore,,,,,,0.0,0.0,0.0
6,JoshFinesilver,,,,,,0.0,0.0,0.0
7,KanenStorr,Dec,,,,,0.0,1.0,0.0
8,JaydinEierman,Fall,Dec,Dec,,,2.0,3.0,0.0
9,ChrisDebien,,,,,,0.0,0.0,0.0
10,AustinHeadlee,,,,,,0.0,0.0,0.0
11,CameronKelly,Dec,,,,,0.0,1.0,0.0
12,KyleShoop,Dec,MD,,,,1.0,2.0,0.0
13,MattFindlay,,,,,,0.0,0.0,0.0
14,CoreyShie,,,,,,0.0,0.0,0.0
15,JoshAlber,Dec,,,,,0.0,1.0,0.0
16,NickLee,Fall,Fall,Dec,,,4.0,3.0,0.0
17,NateLimmex,,,,,,0.0,0.0,0.0
18,Sa`DerianPerry,Dec,,,,,0.0,1.0,0.0
19,JamelMorris,,,,,,0.0,0.0,0.0
20,TristanMoran,,,,,,0.0,0.0,0.0
21,MaxMurin,Dec,Dec,,,,0.0,2.0,0.0
22,AnthonySparacio,,,,,,0.0,0.0,0.0
23,MichaelCarr,Dec,,,,,0.0,1.0,0.0
24,MitchMcKee,Fall,Dec,,,,2.0,2.0,0.0
25,SamKrivus,,,,,,0.0,0.0,0.0
26,SamTurner,Dec,,,,,0.0,1.0,0.0
27,NicholasGil,,,,,,0.0,0.0,0.0
28,KaidBrock,MD,,,,,1.0,1.0,0.0
29,BryanLantry,,,,,,0.0,0.0,0.0
30,GrantWillits,,,,,,0.0,0.0,0.0
31,JoeyMcKenna,TF,MD,MD,Dec,,3.5,4.0,12.0
