,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace
SebastianRivera,,,,,,Dec,Dec,,
TreyChalifoux,,,,,,,,,
DevinSchroder,MD,Dec,,,,,,,
DrewMattin,,Dec,,,,,,,
RayVonFoley,,Dec,Dec,MD,,,,,Dec
RicoMontoya,,,,,,,,,
MalikHeinselman,Dec,,,,,,,,
VitaliArujau,,,,MD,Dec,Dec,,,
JackMueller,,,,,,,,,
GageCurry,,,,,,,,,
JaySchwarm,Fall,Dec,,,,,,,
MichaelMcGee,,Dec,Dec,,,,,,
DrewHildebrandt,,,,,,,,,
GabeTownsell,Dec,,,,,,,,
ChristianMoody,,,,,,,,,
RonnieBresser,,,,SV,,,,,
SpencerLee,,,,,,,,,
BryceWest,,,,,,,,,
AlexMackall,Fall,Dec,,,,,,,
SeanFausz,,Fall,Dec,,,,,,
TravisPiotrowski,,,,,,,,,
ColeVerner,Dec,,,,,,,,
DackPunke,,,,,,,,,
SeanRussell,,,,,,,,,
PatGlory,,,,Dec,MD,,,,
AlonzoAllen,,,,,,,,,
CarmenFerrante,SV,,,,,,,,
BrentFleetwood,,MD,SV,,,,,,
ElijahOliver,,,,,,,,,
ZekeMoisey,,,,,,,,,
KorbinMeink,Dec,,,,,,,,
NicholasPiccininni,,,,,,,,Fall,
