,Unnamed: 0,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints,TotalPoints
0,YianniDiakomihalis,,,,,,,,,,Dec,Dec,Dec,Dec,SV,0,5,16,21
1,PeteLipari,,,,,,,,,,,,,,,0,0,0,0
2,IanParker,Fall,,,,,,,,,,,,,,2,0.5,0,2.5
3,ChadRed,,MD,Dec,Dec,,,,,,Fall,,,,,3,2.5,3,8.5
4,DomDemas,,,,MD,Dec,Dec,,,,MD,Dec,,,,2,3.5,9,14.5
5,MitchMoore,Fall,,,,,,,,,,,,,,2,0.5,0,2.5
6,JoshFinesilver,,,,,,,,,,,,,,,0,0,0,0
7,KanenStorr,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
8,JaydinEierman,,,,,,Dec,Dec,,,Fall,Dec,Dec,,,2,4,10,16
9,ChrisDebien,,,,,,,,,,,,,,,0,0,0,0
10,AustinHeadlee,Fall,,,,,,,,,,,,,,2,0.5,0,2.5
11,CameronKelly,,,,,,,,,,Dec,,,,,0,1,0,1
12,KyleShoop,,,,Dec,,,,,MD,Dec,MD,,,,2,3,4,9
13,MattFindlay,MD,Dec,Fall,,,,,,,,,,,,3,1.5,0,4.5
14,CoreyShie,,,,,,,,,,,,,,,0,0,0,0
15,JoshAlber,,,,,,,,,,Dec,,,,,0,1,0,1
16,NickLee,,,,,,,,Fall,,Fall,Fall,Dec,,,6,3.5,7,16.5
17,NateLimmex,,,,,,,,,,,,,,,0,0,0,0
18,Sa`DerianPerry,,,,,,,,,,Dec,,,,,0,1,0,1
19,JamelMorris,Dec,MD,,,,,,,,,,,,,1,1,0,2
20,TristanMoran,Dec,Fall,Dec,,,,,,,,,,,,2,1.5,0,3.5
21,MaxMurin,,,,,,,,,,Dec,Dec,,,,0,2,0,2
22,AnthonySparacio,,,,,,,,,,,,,,,0,0,0,0
23,MichaelCarr,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
24,MitchMcKee,,,,Dec,Dec,,,,,Fall,Dec,,,,2,3,6,11
25,SamKrivus,,,,,,,,,,,,,,,0,0,0,0
26,SamTurner,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
27,NicholasGil,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
28,KaidBrock,,MD,Dec,,,,,,,MD,,,,,2,2,0,4
29,BryanLantry,,,,,,,,,,,,,,,0,0,0,0
30,GrantWillits,Fall,,,,,,,,,,,,,,2,0.5,0,2.5
31,JoeyMcKenna,,,,,,,,,,TF,MD,MD,Dec,,3.5,4,12,19.5
