,Round1,Round2,Round3,Round4,Finals
DatonFix,MD,Dec,MD,Dec,
ZackTrampe,,,,,
SeanNickell,,,,,
MatthewSchmitt,MD,,,,
CharlesTucker,,,,,
DJFehlman,Dec,,,,
DerekSpann,,,,,
JohnErneste,MD,Dec,,,
LukePletcher,MD,Dec,Dec,,
TimRooney,,,,,
CamSykora,,,,,
MontorieBridges,Dec,,,,
AustinGomez,MD,,,,
BrandonPaetzell,,,,,
GaryJoint,,,,,
MickyPhillippi,Dec,Dec,,,
NickSuriano,MD,Dec,Fall,Dec,SV
DylanDuncan,,,,,
JoshTerao,,,,,
KorbinMyers,MD,,,,
TariqWilson,Dec,,,,
NoahGonser,,,,,
AnthonyCefolo,,,,,
EthanLizak,Dec,Dec,,,
AustinDeSanto,DQ,Dec,,,
CodiRussell,,,,,
MarioGuillen,,,,,
RomanBravoyoung,Dec,,,,
BenThornton,SV,,,,
GaryWayneHarding,,,,,
MasonPengilly,,,,,
StevanMicic,MD,MD,Dec,,
