,Unnamed: 0,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints
0,AlexMarinelli,Dec,MD,,,,1.0,2.0,0.0
1,JoesphSmith,,,,,,0.0,0.0,0.0
2,JonathanViruet,,,,,,0.0,0.0,0.0
3,ThomasBullard,Dec,,,,,0.0,1.0,0.0
4,DemetriusRomero,,,,,,0.0,0.0,0.0
5,CaelMcCormick,Fall,,,,,2.0,1.0,0.0
6,CamCoy,,,,,,0.0,0.0,0.0
7,MekhiLewis,Fall,Dec,Dec,Dec,Dec,2.0,5.0,16.0
8,ChanceMarsteller,MD,Dec,,,,1.0,2.0,0.0
9,CarsonBrolsma,,,,,,0.0,0.0,0.0
10,TeshanCampbell,Dec,,,,,0.0,1.0,0.0
11,EbedJarrell,,,,,,0.0,0.0,0.0
12,AndrewFogarty,TF,,,,,1.5,1.0,0.0
13,TylerMarinelli,,,,,,0.0,0.0,0.0
14,NickKiussis,,,,,,0.0,0.0,0.0
15,EvanWick,MD,Dec,Fall,,,3.0,3.0,0.0
16,JoshuaShields,MD,MD,Dec,,,2.0,3.0,0.0
17,ColstonDiBlasi,,,,,,0.0,0.0,0.0
18,TannerSkidgel,,,,,,0.0,0.0,0.0
19,JesseDellavecchia,Dec,,,,,0.0,1.0,0.0
20,BryceSteiert,Fall,Dec,,,,2.0,2.0,0.0
21,BryceMartin,,,,,,0.0,0.0,0.0
22,TroyKeller,,,,,,0.0,0.0,0.0
23,LoganMassa,MD,,,,,1.0,1.0,0.0
24,IsaiahWhite,Dec,Dec,,,,0.0,2.0,0.0
25,JoeyGunther,,,,,,0.0,0.0,0.0
26,ZachFinesilver,,,,,,0.0,0.0,0.0
27,BransonAshworth,MD,,,,,1.0,1.0,0.0
28,ConnorFlynn,Dec,,,,,0.0,1.0,0.0
29,GordonWolf,,,,,,0.0,0.0,0.0
30,EvanDelong,,,,,,0.0,0.0,0.0
31,VincenzoJoseph,Fall,Dec,SV,Dec,,2.0,4.0,12.0
