,Round1,Round2,Round3,Round4,Finals
MylesMartin,Fall,MD,MD,,
BobColeman,,,,,
AndrewMcNally,,,,,
CoreyHazel,Dec,,,,
TaylorVenz,Dec,,,,
TannerHarvey,,,,,
MaxLyon,,,,,
RyanPreisch,Fall,Dec,,,
MaxwellDean,MD,SV,Dec,Dec,
NoahStewart,,,,,
NickGravina,,,,,
CashWilcke,Dec,,,,
NinoBonaccorsi,Dec,Dec,,,
WillSumner,,,,,
WillSchany,,,,,
EmeryParker,Dec,,,,
ZacharyZavatsky,Dec,Dec,,,
DomDucharme,,,,,
CameronCaffey,Dec,,,,
DylanWisman,,,,,
LouDeprez,MD,,,,
MasonReinhardt,,,,,
ChristianLaFragola,,,,,
DrewFoster,MD,Dec,Dec,Dec,Dec
NickReenan,,,,,
DakotaGeer,Dec,,,,
JacksonHemauer,,,,,
SamuelColbray,Dec,Dec,,,
ChipNess,Dec,Dec,SV,,
TateSamuelson,,,,,
KevinParker,,,,,
ShakurRasheed,MD,,,,
