,Unnamed: 0,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints,TotalPoints
0,DatonFix,,,,,,,,,,MD,Dec,MD,Dec,,2,4,12,18
1,ZackTrampe,,,,,,,,,,,,,,,0,0,0,0
2,SeanNickell,MD,,,,,,,,,,,,,,1,0.5,0,1.5
3,MatthewSchmitt,,,,,,,,,,MD,,,,,1,1,0,2
4,CharlesTucker,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
5,DJFehlman,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
6,DerekSpann,,,,,,,,,,,,,,,0,0,0,0
7,JohnErneste,,,,SV,MD,,,,,MD,Dec,,,,2,3,6,11
8,LukePletcher,,,,,,Dec,,,,MD,Dec,Dec,,,1,3.5,9,13.5
9,TimRooney,,,,,,,,,,,,,,,0,0,0,0
10,CamSykora,MD,,,,,,,,,,,,,,1,0.5,0,1.5
11,MontorieBridges,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
12,AustinGomez,,TF,SV,,,,,,,MD,,,,,2.5,2,0,4.5
13,BrandonPaetzell,,,,,,,,,,,,,,,0,0,0,0
14,GaryJoint,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
15,MickyPhillippi,,,,,,,,,,Dec,Dec,,,,0,2,0,2
16,NickSuriano,,,,,,,,,,MD,Dec,Fall,Dec,SV,3,5,16,24
17,DylanDuncan,,,,,,,,,,,,,,,0,0,0,0
18,JoshTerao,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
19,KorbinMyers,,Fall,,,,,,,,MD,,,,,3,1.5,0,4.5
20,TariqWilson,,TF,MD,,,,,,,Dec,,,,,2.5,2,0,4.5
21,NoahGonser,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
22,AnthonyCefolo,,,,,,,,,,,,,,,0,0,0,0
23,EthanLizak,,,,MD,,,,,Dec,Dec,Dec,,,,1,3,4,8
24,AustinDeSanto,,,,MD,SV,,,Dec,,DQ,Dec,,,,3,3.5,7,13.5
25,CodiRussell,Fall,,,,,,,,,,,,,,2,0.5,0,2.5
26,MarioGuillen,,,,,,,,,,,,,,,0,0,0,0
27,RomanBravoyoung,,Dec,Dec,Dec,,,,,,Dec,,,,,0,2.5,3,5.5
28,BenThornton,,MD,,,,,,,,SV,,,,,1,1.5,0,2.5
29,GaryWayneHarding,,,,,,,,,,,,,,,0,0,0,0
30,MasonPengilly,Dec,Dec,Dec,,,,,,,,,,,,0,1.5,0,1.5
31,StevanMicic,,,,,,MD,Dec,,,MD,MD,Dec,,,2,4,10,16
