,Unnamed: 0,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints
0,AnthonyAshnault,MD,Dec,Dec,Dec,Dec,1.0,5.0,16.0
1,MalikAmine,,,,,,0.0,0.0,0.0
2,ChristianMonserrat,,,,,,0.0,0.0,0.0
3,DavionJeffries,Dec,,,,,0.0,1.0,0.0
4,JustinOliver,Dec,,,,,0.0,1.0,0.0
5,CortlandtSchuyler,,,,,,0.0,0.0,0.0
6,RussellRohlfing,,,,,,0.0,0.0,0.0
7,JarrettDegen,MD,Dec,,,,1.0,2.0,0.0
8,MatthewKolodzik,Dec,Dec,Dec,,,0.0,3.0,0.0
9,MichaelSprague,,,,,,0.0,0.0,0.0
10,KhristianOlivas,,,,,,0.0,0.0,0.0
11,BradyBerge,Dec,,,,,0.0,1.0,0.0
12,AnthonyArtalona,,,,,,0.0,0.0,0.0
13,ThomasThorn,Dec,,,,,0.0,1.0,0.0
14,MatthewZovistoski,,,,,,0.0,0.0,0.0
15,BrockMauller,MD,Dec,,,,1.0,2.0,0.0
16,MitchFinesilver,TF,MD,,,,2.5,2.0,0.0
17,ParkerKropman,,,,,,0.0,0.0,0.0
18,ColeMartin,SV,,,,,0.0,1.0,0.0
19,RequirvanderMerwe,,,,,,0.0,0.0,0.0
20,JoshuaHeil,Fall,,,,,2.0,1.0,0.0
21,HenryPohlmeyer,,,,,,0.0,0.0,0.0
22,TejonAnthony,,,,,,0.0,0.0,0.0
23,AustinOConnor,Dec,Dec,SV,,,0.0,3.0,0.0
24,KadenGfeller,,,,,,0.0,0.0,0.0
25,RyanBlees,SV,,,,,0.0,1.0,0.0
26,JoshuaMaruca,,,,,,0.0,0.0,0.0
27,PatLugo,Dec,SV,,,,0.0,2.0,0.0
28,MaxThomsen,Dec,,,,,0.0,1.0,0.0
29,JaredPrince,,,,,,0.0,0.0,0.0
30,ShayneOster,,,,,,0.0,0.0,0.0
31,MicahJordan,Fall,MD,Dec,Dec,,3.0,4.0,12.0
