,Unnamed: 0,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints,TotalPoints
0,MarkHall,,,,,,,,,,MD,Dec,Dec,TB,,1,4,12,17
1,DevinKane,Dec,Dec,Dec,,,,,,,,,,,,0,1.5,0,1.5
2,NealRichards,,,,,,,,,,,,,,,0,0,0,0
3,BrandonWomack,,Dec,,,,,,,,TB,,,,,0,1.5,0,1.5
4,DevinSkatzka,,MD,Dec,MD,,,,,,MD,,,,,3,2.5,3,8.5
5,LorenzoDeLaRiva,,,,,,,,,,,,,,,0,0,0,0
6,HaydenHastings,MD,,,,,,,,,,,,,,1,0.5,0,1.5
7,TaylorLujan,,,,,,,,,,MD,Fall,,,,3,2,0,5
8,JordanKutler,,,,Dec,,,,,Dec,MD,Dec,,,,1,3,4,8
9,JacobOliver,,,,,,,,,,,,,,,0,0,0,0
10,MarcusColeman,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
11,MattFinesilver,,,,,,,,,,Dec,,,,,0,1,0,1
12,BritWilson,,,,,,,,,,,,,,,0,0,0,0
13,SpencerCarey,,,,,,,,,,Dec,,,,,0,1,0,1
14,JoeGrello,MD,TB,,,,,,,,,,,,,1,1,0,2
15,MylesAmine,,,,,,Dec,Dec,,,Dec,MD,SV,,,1,4,10,15
16,ZahidValencia,,,,,,,,,,MD,MD,Fall,MD,Dec,5,5,16,26
17,DeanSherry,,,,,,,,,,,,,,,0,0,0,0
18,EthanSmith,Dec,Dec,,,,,,,,SV,,,,,0,2,0,2
19,KimballBastian,,,,,,,,,,TB,,,,,0,1,0,1
20,DylanLydy,SV,Dec,Dec,,,,,,,,,,,,0,1.5,0,1.5
21,BenHarvey,,,,,,,,,,Dec,SV,,,,0,2,0,2
22,VincentDeprez,,,,,,,,,,,,,,,0,0,0,0
23,DavidMcFadden,,Dec,Dec,MD,Dec,,,Dec,,Dec,,,,,1,3.5,7,11.5
24,JacobeSmith,,,,,,,,,,,,,,,0,0,0,0
25,DrewHughes,,,,,,,,,,,,,,,0,0,0,0
26,DanielBullard,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
27,MikeyLabriola,,,,TB,Dec,,,,,Dec,Dec,,,,0,3,6,9
28,RyanChristensen,,,,,,,,,,Dec,,,,,0,1,0,1
29,AndrewMorgan,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
30,TravisStefanik,,,,,,,,,,,,,,,0,0,0,0
31,DanielLewis,,,,,,Dec,,,,Fall,Fall,Fall,,,6,3.5,9,18.5
