,Unnamed: 0,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints
0,BoNickal,Fall,Fall,MD,Fall,Dec,7.0,5.0,16.0
1,EthanLaird,,,,,,0.0,0.0,0.0
2,StephenLoiseau,,,,,,0.0,0.0,0.0
3,JoshHokit,Dec,,,,,0.0,1.0,0.0
4,BenjaminHonis,,,,,,0.0,0.0,0.0
5,JakeJakobsen,Dec,,,,,0.0,1.0,0.0
6,GregBulsak,,,,,,0.0,0.0,0.0
7,NathanTraxler,Dec,Dec,,,,0.0,2.0,0.0
8,JacobWarner,Dec,,,,,0.0,1.0,0.0
9,DrewPhipps,,,,,,0.0,0.0,0.0
10,ThomasLane,Dec,SV,,,,0.0,2.0,0.0
11,RoccoCaywood,,,,,,0.0,0.0,0.0
12,MalikMcDonald,Dec,,,,,0.0,1.0,0.0
13,NoahAdams,,,,,,0.0,0.0,0.0
14,BrandonWhitman,,,,,,0.0,0.0,0.0
15,PatrickBrucki,Dec,Dec,Dec,,,0.0,3.0,0.0
16,PrestonWeigel,TF,Dec,Fall,,,3.5,3.0,0.0
17,JacobSeely,,,,,,0.0,0.0,0.0
18,TannerOrndorff,,,,,,0.0,0.0,0.0
19,EricSchultz,Dec,,,,,0.0,1.0,0.0
20,ChristianBrunner,Dec,Dec,,,,0.0,2.0,0.0
21,SawyerRoot,,,,,,0.0,0.0,0.0
22,JoshuaRoetman,,,,,,0.0,0.0,0.0
23,WilliamMiklus,Dec,,,,,0.0,1.0,0.0
24,JayAiello,Dec,,,,,0.0,1.0,0.0
25,AnthonyMcLaughlin,,,,,,0.0,0.0,0.0
26,KellanStout,,,,,,0.0,0.0,0.0
27,TomSleigh,Dec,Dec,,,,0.0,2.0,0.0
28,RandallDiabe,,,,,,0.0,0.0,0.0
29,JakeWoodley,TB,,,,,0.0,1.0,0.0
30,BrettPerry,,,,,,0.0,0.0,0.0
31,KollinMoore,MD,MD,Dec,MD,,3.0,4.0,12.0
