,Unnamed: 0,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints
0,DatonFix,MD,Dec,MD,Dec,,2.0,4.0,12.0
1,ZackTrampe,,,,,,0.0,0.0,0.0
2,SeanNickell,,,,,,0.0,0.0,0.0
3,MatthewSchmitt,MD,,,,,1.0,1.0,0.0
4,CharlesTucker,,,,,,0.0,0.0,0.0
5,DJFehlman,Dec,,,,,0.0,1.0,0.0
6,DerekSpann,,,,,,0.0,0.0,0.0
7,JohnErneste,MD,Dec,,,,1.0,2.0,0.0
8,LukePletcher,MD,Dec,Dec,,,1.0,3.0,0.0
9,TimRooney,,,,,,0.0,0.0,0.0
10,CamSykora,,,,,,0.0,0.0,0.0
11,MontorieBridges,Dec,,,,,0.0,1.0,0.0
12,AustinGomez,MD,,,,,1.0,1.0,0.0
13,BrandonPaetzell,,,,,,0.0,0.0,0.0
14,GaryJoint,,,,,,0.0,0.0,0.0
15,MickyPhillippi,Dec,Dec,,,,0.0,2.0,0.0
16,NickSuriano,MD,Dec,Fall,Dec,SV,3.0,5.0,16.0
17,DylanDuncan,,,,,,0.0,0.0,0.0
18,JoshTerao,,,,,,0.0,0.0,0.0
19,KorbinMyers,MD,,,,,1.0,1.0,0.0
20,TariqWilson,Dec,,,,,0.0,1.0,0.0
21,NoahGonser,,,,,,0.0,0.0,0.0
22,AnthonyCefolo,,,,,,0.0,0.0,0.0
23,EthanLizak,Dec,Dec,,,,0.0,2.0,0.0
24,AustinDeSanto,DQ,Dec,,,,2.0,2.0,0.0
25,CodiRussell,,,,,,0.0,0.0,0.0
26,MarioGuillen,,,,,,0.0,0.0,0.0
27,RomanBravoyoung,Dec,,,,,0.0,1.0,0.0
28,BenThornton,SV,,,,,0.0,1.0,0.0
29,GaryWayneHarding,,,,,,0.0,0.0,0.0
30,MasonPengilly,,,,,,0.0,0.0,0.0
31,StevanMicic,MD,MD,Dec,,,2.0,3.0,0.0
