,Unnamed: 0,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints,TotalPoints
0,DerekWhite,,,,,,,,,,MD,Dec,Dec,SV,,1,4,12,17
1,BrandonNgati,,,,,,,,,,,,,,,0,0,0,0
2,DavidJensen,MD,,,,,,,,,,,,,,1,1,0,2
3,ChaseSingletary,,Dec,,,,,,,,Dec,,,,,0,2,0,2
4,MattStencel,,,,Fall,,,,,Dec,Dec,MD,,,,3,4,4,11
5,HaydnMaley,,,,,,,,,,,,,,,0,0,0,0
6,GannonGremmel,Dec,,,,,,,,,,,,,,0,1,0,1
7,DemetriusThomas,,,,,,,,,,Dec,,,,,0,1,0,1
8,MasonParris,Fall,Fall,MD,,,,,,,,,,,,5,3,0,8
9,SamStoll,,,,,,,,,,Dec,Dec,,,,0,2,0,2
10,CoryGillilandDaniel,,,,,,,,,,,,,,,0,0,0,0
11,ConanJennings,,Dec,,,,,,,,Dec,,,,,0,2,0,2
12,MattVoss,Dec,Dec,,,,,,,,,,,,,0,2,0,2
13,ZachElam,,Fall,TB,,,,,,,SV,,,,,2,3,0,5
14,ColtonMcKiernan,,,,,,,,,,,,,,,0,0,0,0
15,JordanWood,,,,,,Dec,,,,Dec,Dec,Dec,,,0,4,9,13
16,GableSteveson,,,,,,Dec,Dec,,,TF,MD,MD,,,3.5,5,10,18.5
17,ZackParker,,,,,,,,,,,,,,,0,0,0,0
18,BrianAndrews,,,,,,,,,,Dec,,,,,0,1,0,1
19,AjNevills,,,,,,,,,,,,,,,0,0,0,0
20,ThomasHaines,,,,,,,,,,MD,,,,,1,1,0,2
21,BillyMiller,Dec,,,,,,,,,,,,,,0,1,0,1
22,CaryMiller,,,,,,,,,,,,,,,0,0,0,0
23,AmarDhesi,,,,MD,Fall,,,Dec,,MD,TF,,,,5.5,5,7,17.5
24,TrentHillger,,,,Dec,,,,,,Dec,Dec,,,,0,3,3,6
25,IanButterbrodt,Dec,MD,Dec,,,,,,,,,,,,1,3,0,4
26,JeramySweany,,,,,,,,,,,,,,,0,0,0,0
27,YoussifHemida,,Fall,Fall,Dec,Dec,,,,,Dec,,,,,4,5,6,15
28,TateOrndorff,,Dec,,,,,,,,Dec,,,,,0,2,0,2
29,JosephGoodhart,Dec,,,,,,,,,,,,,,0,1,0,1
30,AntonioPelusi,,,,,,,,,,,,,,,0,0,0,0
31,AnthonyCassar,,,,,,,,,,Fall,MD,Dec,Dec,MD,4,5,16,25
