,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace
BoNickal,,,,,,,,,
EthanLaird,Dec,Dec,,,,,,,
StephenLoiseau,,,,,,,,,
JoshHokit,,Dec,Dec,MD,Dec,,,TB,
BenjaminHonis,Dec,SV,Dec,Dec,,,,,
JakeJakobsen,,Dec,,,,,,,
GregBulsak,,,,,,,,,
NathanTraxler,,,,,,,,,
JacobWarner,,MD,Dec,Dec,,,,,Dec
DrewPhipps,Dec,,,,,,,,
ThomasLane,,,,,,,,,
RoccoCaywood,,,,,,,,,
MalikMcDonald,,,,,,,,,
NoahAdams,Dec,,,,,,,,
BrandonWhitman,,,,,,,,,
PatrickBrucki,,,,,,Dec,,,
PrestonWeigel,,,,,,Fall,Dec,,
JacobSeely,,,,,,,,,
TannerOrndorff,MD,MD,,,,,,,
EricSchultz,,Dec,,,,,,,
ChristianBrunner,,,,,,,,,
SawyerRoot,,,,,,,,,
JoshuaRoetman,MD,,,,,,,,
WilliamMiklus,,MD,Dec,Fall,Dec,,,,
JayAiello,,,,,,,,,
AnthonyMcLaughlin,Dec,,,,,,,,
KellanStout,,,,,,,,,
TomSleigh,,,,,,,,,
RandallDiabe,,,,,,,,,
JakeWoodley,,,,,,,,,
BrettPerry,Dec,,,,,,,,
KollinMoore,,,,,,,,,
