,Unnamed: 0,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints,TotalPoints
0,AlexMarinelli,,,,Dec,,,,,Dec,Dec,MD,,,,1,3,4,8
1,JoesphSmith,Dec,Dec,,,,,,,,,,,,,0,1,0,1
2,JonathanViruet,,,,,,,,,,,,,,,0,0,0,0
3,ThomasBullard,,,,,,,,,,Dec,,,,,0,1,0,1
4,DemetriusRomero,Dec,SV,Dec,,,,,,,,,,,,0,1.5,0,1.5
5,CaelMcCormick,,,,,,,,,,Fall,,,,,2,1,0,3
6,CamCoy,,,,,,,,,,,,,,,0,0,0,0
7,MekhiLewis,,,,,,,,,,Fall,Dec,Dec,Dec,Dec,2,5,16,23
8,ChanceMarsteller,,,,MD,Dec,Dec,Dec,,,MD,Dec,,,,2,4,10,16
9,CarsonBrolsma,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
10,TeshanCampbell,,Fall,Dec,,,,,,,Dec,,,,,2,2,0,4
11,EbedJarrell,,,,,,,,,,,,,,,0,0,0,0
12,AndrewFogarty,,Dec,,,,,,,,TF,,,,,1.5,1.5,0,3
13,TylerMarinelli,,,,,,,,,,,,,,,0,0,0,0
14,NickKiussis,SV,,,,,,,,,,,,,,0,0.5,0,0.5
15,EvanWick,,,,,,Dec,,,,MD,Dec,Fall,,,3,3.5,9,15.5
16,JoshuaShields,,,,,,,,,,MD,MD,Dec,,,2,3,0,5
17,ColstonDiBlasi,,,,,,,,,,,,,,,0,0,0,0
18,TannerSkidgel,MD,,,,,,,,,,,,,,1,0.5,0,1.5
19,JesseDellavecchia,,MD,,,,,,,,Dec,,,,,1,1.5,0,2.5
20,BryceSteiert,,,,MD,,,,,,Fall,Dec,,,,3,2.5,3,8.5
21,BryceMartin,,,,,,,,,,,,,,,0,0,0,0
22,TroyKeller,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
23,LoganMassa,,TF,MD,,,,,,,MD,,,,,3.5,2,0,5.5
24,IsaiahWhite,,,,TB,Dec,,,Dec,,Dec,Dec,,,,0,3.5,7,10.5
25,JoeyGunther,Dec,TB,,,,,,,,,,,,,0,1,0,1
26,ZachFinesilver,,,,,,,,,,,,,,,0,0,0,0
27,BransonAshworth,,,,,,,,,,MD,,,,,1,1,0,2
28,ConnorFlynn,,,,,,,,,,Dec,,,,,0,1,0,1
29,GordonWolf,Dec,Dec,Dec,,,,,,,,,,,,0,1.5,0,1.5
30,EvanDelong,,,,,,,,,,,,,,,0,0,0,0
31,VincenzoJoseph,,,,,,,,,,Fall,Dec,SV,Dec,,2,4,12,18
