,Round1,Round2,Round3,Round4,Finals
AlexMarinelli,Dec,MD,,,
JoesphSmith,,,,,
JonathanViruet,,,,,
ThomasBullard,Dec,,,,
DemetriusRomero,,,,,
CaelMcCormick,Fall,,,,
CamCoy,,,,,
MekhiLewis,Fall,Dec,Dec,Dec,Dec
ChanceMarsteller,MD,Dec,,,
CarsonBrolsma,,,,,
TeshanCampbell,Dec,,,,
EbedJarrell,,,,,
AndrewFogarty,TF,,,,
TylerMarinelli,,,,,
NickKiussis,,,,,
EvanWick,MD,Dec,Fall,,
JoshuaShields,MD,MD,Dec,,
ColstonDiBlasi,,,,,
TannerSkidgel,,,,,
JesseDellavecchia,Dec,,,,
BryceSteiert,Fall,Dec,,,
BryceMartin,,,,,
TroyKeller,,,,,
LoganMassa,MD,,,,
IsaiahWhite,Dec,Dec,,,
JoeyGunther,,,,,
ZachFinesilver,,,,,
BransonAshworth,MD,,,,
ConnorFlynn,Dec,,,,
GordonWolf,,,,,
EvanDelong,,,,,
VincenzoJoseph,Fall,Dec,SV,Dec,
