,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace
AlexMarinelli,,,,Dec,,,,,Dec
JoesphSmith,Dec,Dec,,,,,,,
JonathanViruet,,,,,,,,,
ThomasBullard,,,,,,,,,
DemetriusRomero,Dec,SV,Dec,,,,,,
CaelMcCormick,,,,,,,,,
CamCoy,,,,,,,,,
MekhiLewis,,,,,,,,,
ChanceMarsteller,,,,MD,Dec,Dec,Dec,,
CarsonBrolsma,Dec,,,,,,,,
TeshanCampbell,,Fall,Dec,,,,,,
EbedJarrell,,,,,,,,,
AndrewFogarty,,Dec,,,,,,,
TylerMarinelli,,,,,,,,,
NickKiussis,SV,,,,,,,,
EvanWick,,,,,,Dec,,,
JoshuaShields,,,,,,,,,
ColstonDiBlasi,,,,,,,,,
TannerSkidgel,MD,,,,,,,,
JesseDellavecchia,,MD,,,,,,,
BryceSteiert,,,,MD,,,,,
BryceMartin,,,,,,,,,
TroyKeller,Dec,,,,,,,,
LoganMassa,,TF,MD,,,,,,
IsaiahWhite,,,,TB,Dec,,,Dec,
JoeyGunther,Dec,TB,,,,,,,
ZachFinesilver,,,,,,,,,
BransonAshworth,,,,,,,,,
ConnorFlynn,,,,,,,,,
GordonWolf,Dec,Dec,Dec,,,,,,
EvanDelong,,,,,,,,,
VincenzoJoseph,,,,,,,,,
