,Unnamed: 0,ConsRound2,ConsRound3,ConsRound4,ConsRound5,ConsRound6,ConsRound7,ThirdPlace,FifthPlace,SeventhPlace,Round1,Round2,Round3,Round4,Finals,BonusPoints,AdvPoints,PlacementPoints,TotalPoints
0,BoNickal,,,,,,,,,,Fall,Fall,MD,Fall,Dec,7,5,16,28
1,EthanLaird,Dec,Dec,,,,,,,,,,,,,0,1,0,1
2,StephenLoiseau,,,,,,,,,,,,,,,0,0,0,0
3,JoshHokit,,Dec,Dec,MD,Dec,,,TB,,Dec,,,,,1,3.5,0,4.5
4,BenjaminHonis,Dec,SV,Dec,Dec,,,,,,,,,,,0,2,3,5
5,JakeJakobsen,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
6,GregBulsak,,,,,,,,,,,,,,,0,0,0,0
7,NathanTraxler,,,,,,,,,,Dec,Dec,,,,0,2,0,2
8,JacobWarner,,MD,Dec,Dec,,,,,Dec,Dec,,,,,1,3,4,8
9,DrewPhipps,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
10,ThomasLane,,,,,,,,,,Dec,SV,,,,0,2,0,2
11,RoccoCaywood,,,,,,,,,,,,,,,0,0,0,0
12,MalikMcDonald,,,,,,,,,,Dec,,,,,0,1,0,1
13,NoahAdams,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
14,BrandonWhitman,,,,,,,,,,,,,,,0,0,0,0
15,PatrickBrucki,,,,,,Dec,,,,Dec,Dec,Dec,,,0,3.5,9,12.5
16,PrestonWeigel,,,,,,Fall,Dec,,,TF,Dec,Fall,,,3.5,4,10,17.5
17,JacobSeely,,,,,,,,,,,,,,,0,0,0,0
18,TannerOrndorff,MD,MD,,,,,,,,,,,,,2,1,0,3
19,EricSchultz,,Dec,,,,,,,,Dec,,,,,0,1.5,0,1.5
20,ChristianBrunner,,,,,,,,,,Dec,Dec,,,,0,2,0,2
21,SawyerRoot,,,,,,,,,,,,,,,0,0,0,0
22,JoshuaRoetman,MD,,,,,,,,,,,,,,1,0.5,0,1.5
23,WilliamMiklus,,MD,Dec,Fall,Dec,,,,,Dec,,,,,3,3,6,12
24,JayAiello,,,,,,,,,,Dec,,,,,0,1,0,1
25,AnthonyMcLaughlin,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
26,KellanStout,,,,,,,,,,,,,,,0,0,0,0
27,TomSleigh,,,,,,,,,,Dec,Dec,,,,0,2,0,2
28,RandallDiabe,,,,,,,,,,,,,,,0,0,0,0
29,JakeWoodley,,,,,,,,,,TB,,,,,0,1,0,1
30,BrettPerry,Dec,,,,,,,,,,,,,,0,0.5,0,0.5
31,KollinMoore,,,,,,,,,,MD,MD,Dec,MD,,3,4,12,19
